year_cat,emitter,total_damages,discount_rate
1990-2020,1990,175.5221385111648,1.5%
1990-2020,1991,163.98298237429862,1.5%
1990-2020,1992,153.10007910654605,1.5%
1990-2020,1993,142.60733453426175,1.5%
1990-2020,1994,132.36362454128005,1.5%
1990-2020,1995,122.58051379011425,1.5%
1990-2020,1996,113.2492810076801,1.5%
1990-2020,1997,104.02571996953245,1.5%
1990-2020,1998,94.91039413922213,1.5%
1990-2020,1999,86.19584439132002,1.5%
1990-2020,2000,77.93829775887356,1.5%
1990-2020,2001,70.0291684554677,1.5%
1990-2020,2002,62.50940993976953,1.5%
1990-2020,2003,55.47505429622504,1.5%
1990-2020,2004,48.88110311139738,1.5%
1990-2020,2005,42.63596795438881,1.5%
1990-2020,2006,36.73430421237147,1.5%
1990-2020,2007,31.262792378730694,1.5%
1990-2020,2008,26.260896661986393,1.5%
1990-2020,2009,21.730878332648924,1.5%
1990-2020,2010,17.67849036490284,1.5%
1990-2020,2011,14.040931799793757,1.5%
1990-2020,2012,10.819730788334025,1.5%
1990-2020,2013,8.053065710741588,1.5%
1990-2020,2014,5.698953382805658,1.5%
1990-2020,2015,3.736365983976083,1.5%
1990-2020,2016,2.1925178940595296,1.5%
1990-2020,2017,1.0836887989645305,1.5%
1990-2020,2018,0.3932994927084956,1.5%
1990-2020,2019,0.07421700052626876,1.5%
1990-2020,2020,0.0,1.5%
1990-2020,1990,183.9203430930075,2%
1990-2020,1991,171.57254537305772,2%
1990-2020,1992,159.95323986193878,2%
1990-2020,1993,148.77597268171957,2%
1990-2020,1994,137.88812061410036,2%
1990-2020,1995,127.51321063343808,2%
1990-2020,1996,117.64083613553001,2%
1990-2020,1997,107.90418869654985,2%
1990-2020,1998,98.30219911584736,2%
1990-2020,1999,89.14253170691609,2%
1990-2020,2000,80.48302363982403,2%
1990-2020,2001,72.20766609636615,2%
1990-2020,2002,64.35710533847684,2%
1990-2020,2003,57.02973659767882,2%
1990-2020,2004,50.17663904681457,2%
1990-2020,2005,43.70055383152209,2%
1990-2020,2006,37.59423021553457,2%
1990-2020,2007,31.945700550545528,2%
1990-2020,2008,26.793834403215882,2%
1990-2020,2009,22.138539002764382,2%
1990-2020,2010,17.98347028009677,2%
1990-2020,2011,14.26205920275166,2%
1990-2020,2012,10.973745915473405,2%
1990-2020,2013,8.155738844706397,2%
1990-2020,2014,5.763302025054599,2%
1990-2020,2015,3.7731097598714634,2%
1990-2020,2016,2.210931015843467,2%
1990-2020,2017,1.0913145413895546,2%
1990-2020,2018,0.3955995544562465,2%
1990-2020,2019,0.07458260151408287,2%
1990-2020,2020,0.0,2%
1990-2020,1990,202.4462085408475,3%
1990-2020,1991,188.25422449400227,3%
1990-2020,1992,174.96364462537403,3%
1990-2020,1993,162.24038438473582,3%
1990-2020,1994,149.90455399681593,3%
1990-2020,1995,138.20559699715807,3%
1990-2020,1996,127.12849928367581,3%
1990-2020,1997,116.25500489106244,3%
1990-2020,1998,105.57955139569705,3%
1990-2020,1999,95.44259106124801,3%
1990-2020,2000,85.90475796968319,3%
1990-2020,2001,76.83293687247327,3%
1990-2020,2002,68.26626845376572,3%
1990-2020,2003,60.30753710735969,3%
1990-2020,2004,52.89866230878896,3%
1990-2020,2005,45.92956186765373,3%
1990-2020,2006,39.388352120606264,3%
1990-2020,2007,33.365416503813954,3%
1990-2020,2008,27.89785743194283,3%
1990-2020,2009,22.98008465108049,3%
1990-2020,2010,18.610884732033597,3%
1990-2020,2011,14.715418273986762,3%
1990-2020,2012,11.288421891836885,3%
1990-2020,2013,8.364806665424284,3%
1990-2020,2014,5.893901413327558,3%
1990-2020,2015,3.8474403478044246,3%
1990-2020,2016,2.248059947753689,3%
1990-2020,2017,1.10664402182584,3%
1990-2020,2018,0.4002103434171324,3%
1990-2020,2019,0.0753138034897112,3%
1990-2020,2020,0.0,3%
1990-2020,1990,247.8003443629424,5%
1990-2020,1991,228.7789561380603,5%
1990-2020,1992,211.15674565853098,5%
1990-2020,1993,194.46755209263168,5%
1990-2020,1994,178.4538154162167,5%
1990-2020,1995,163.4249432342645,5%
1990-2020,1996,149.34935156535084,5%
1990-2020,1997,135.67435895179545,5%
1990-2020,1998,122.37835085158814,5%
1990-2020,1999,109.87849201028024,5%
1990-2020,2000,98.23807531988068,5%
1990-2020,2001,87.27827642286671,5%
1990-2020,2002,77.03024434977009,5%
1990-2020,2003,67.60327201619579,5%
1990-2020,2004,58.9143479882802,5%
1990-2020,2005,50.82051321555832,5%
1990-2020,2006,43.29649765343976,5%
1990-2020,2007,36.43543107750092,5%
1990-2020,2008,30.26800024433845,5%
1990-2020,2009,24.77386649452003,5%
1990-2020,2010,19.938907234234588,5%
1990-2020,2011,15.668402055499259,5%
1990-2020,2012,11.945283277446391,5%
1990-2020,2013,8.798249266521362,5%
1990-2020,2014,6.162875987955826,5%
1990-2020,2015,3.999527388464568,5%
1990-2020,2016,2.323540781869271,5%
1990-2020,2017,1.1376164221146303,5%
1990-2020,2018,0.40947458320044244,5%
1990-2020,2019,0.07677620744096772,5%
1990-2020,2020,0.0,5%
1990-2020,1990,307.5530428169862,7%
1990-2020,1991,281.5931073920709,7%
1990-2020,1992,257.83455261816664,7%
1990-2020,1993,235.60521803229122,7%
1990-2020,1994,214.52243638769866,7%
1990-2020,1995,194.96551200291984,7%
1990-2020,1996,176.8696412665351,7%
1990-2020,1997,159.48903054868484,7%
1990-2020,1998,142.77069487742227,7%
1990-2020,1999,127.22501888566038,7%
1990-2020,2000,112.91059414139168,7%
1990-2020,2001,99.58141194594374,7%
1990-2020,2002,87.2503406011411,7%
1990-2020,2003,76.02773925649163,7%
1990-2020,2004,65.79356760790871,7%
1990-2020,2005,56.35926878436025,7%
1990-2020,2006,47.678697706579165,7%
1990-2020,2007,39.84381123601588,7%
1990-2020,2008,32.87371741945216,7%
1990-2020,2009,26.726982635304857,7%
1990-2020,2010,21.371306416460804,7%
1990-2020,2011,16.6867588824546,7%
1990-2020,2012,12.640655666842871,7%
1990-2020,2013,9.252926080510692,7%
1990-2020,2014,6.442543905902458,7%
1990-2020,2015,4.156285969207664,7%
1990-2020,2016,2.400675663797464,7%
1990-2020,2017,1.1690095169989296,7%
1990-2020,2018,0.41879570546580375,7%
1990-2020,2019,0.07823861139222427,7%
1990-2020,2020,0.0,7%
