year,discount_rate_pct,sc_co2_cad2021,source
2029,1.5,486,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,2.0,289,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2029,2.5,180,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,1.5,491,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,2.0,294,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2030,2.5,184,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2031,1.5,497,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2031,2.0,299,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2031,2.5,188,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2032,1.5,504,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2032,2.0,303,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2032,2.5,192,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2033,1.5,509,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2033,2.0,308,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2033,2.5,196,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2034,1.5,515,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2034,2.0,313,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2034,2.5,198,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2035,1.5,522,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2035,2.0,317,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2035,2.5,202,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,1.5,527,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,2.0,322,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2036,2.5,206,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
