year,discount_rate_pct,sc_co2_cad2021,source
2060,2.0,441,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2060,2.5,299,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2061,1.5,680,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2061,2.0,445,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2061,2.5,302,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2062,1.5,684,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2062,2.0,449,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2062,2.5,306,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2063,1.5,689,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2063,2.0,453,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2063,2.5,308,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2064,1.5,694,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2064,2.0,457,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2064,2.5,312,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2065,1.5,699,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2065,2.0,460,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2065,2.5,315,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2066,1.5,703,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2066,2.0,464,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2066,2.5,317,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2067,1.5,708,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2067,2.0,468,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2067,2.5,321,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2068,1.5,714,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2068,2.0,472,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2068,2.5,324,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2069,1.5,719,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2069,2.0,476,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2069,2.5,327,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2070,1.5,722,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2070,2.0,480,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2070,2.5,330,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2071,1.5,728,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2071,2.0,483,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2071,2.5,334,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2072,1.5,733,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2072,2.0,488,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2072,2.5,336,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2073,1.5,737,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2073,2.0,492,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2073,2.5,340,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2074,1.5,742,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2074,2.0,496,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2074,2.5,344,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2075,1.5,746,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2075,2.0,500,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2075,2.5,347,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2076,1.5,751,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2076,2.0,504,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2076,2.5,350,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2077,1.5,756,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2077,2.0,509,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2077,2.5,353,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2078,1.5,760,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2078,2.0,513,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2078,2.5,357,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2079,1.5,765,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2079,2.0,517,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2079,2.5,361,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2080,1.5,769,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2080,2.0,520,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2080,2.5,363,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
