year,discount_rate_pct,sc_ch4_cad2021,source
2060,2.5,5524,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2061,1.5,8165,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2061,2.0,6648,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2061,2.5,5612,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2062,1.5,8286,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2062,2.0,6752,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2062,2.5,5701,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2063,1.5,8409,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2063,2.0,6855,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2063,2.5,5789,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2064,1.5,8531,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2064,2.0,6959,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2064,2.5,5877,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2065,1.5,8653,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2065,2.0,7063,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2065,2.5,5967,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2066,1.5,8775,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2066,2.0,7166,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2066,2.5,6055,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2067,1.5,8898,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2067,2.0,7270,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2067,2.5,6143,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2068,1.5,9019,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2068,2.0,7372,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2068,2.5,6231,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2069,1.5,9142,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2069,2.0,7476,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2069,2.5,6320,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2070,1.5,9263,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2070,2.0,7579,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2070,2.5,6408,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2071,1.5,9391,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2071,2.0,7689,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2071,2.5,6502,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2072,1.5,9519,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2072,2.0,7799,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2072,2.5,6598,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2073,1.5,9648,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2073,2.0,7908,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2073,2.5,6693,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2074,1.5,9776,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2074,2.0,8018,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2074,2.5,6789,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2075,1.5,9904,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2075,2.0,8126,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2075,2.5,6884,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2076,1.5,10032,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2076,2.0,8236,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2076,2.5,6979,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2077,1.5,10161,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2077,2.0,8346,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2077,2.5,7074,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2078,1.5,10289,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2078,2.0,8455,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2078,2.5,7170,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2079,1.5,10417,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2079,2.0,8565,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2079,2.5,7265,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2080,1.5,10545,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2080,2.0,8674,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2080,2.5,7360,ECCC Social Cost of Greenhouse Gas Estimates interim guidance Table 1 / A.1.1 / A.1.2. CAD 2021 per tCH4. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
