case,label,liquefaction_intensity,parameter,applies_to,basis,headline_lifetime_mtco2e,headline_delta_mtco2e,headline_canada_mtco2e,headline_canada_delta_mtco2e,boundary_note
central,Central: gas turbine 0.29 for every terminal,0.29,Emission Factors:central:liquefaction,all terminals,"central case, unchanged",7162.047228157896,0.0,1257.65313,0.0,liquefaction stage only
electric_drive_gas_generation,"Alternative Case, gas-fired power barges (BC EAO Ksi Lisims), applied to Ksi Lisims and Cedar",0.156,Parameters:liquefaction_electric_drive_gas_generation,ksi_lisims_lng (sourced); cedar_lng (assumption: same FLNG electric-drive class),"Alternative Case, gas-fired power barges (BC EAO Ksi Lisims)",7108.289657557896,-53.75757059999997,1203.8955594,-53.75757059999997,"The two drive figures are facility total intensity including marine sources, not the liquefaction stage alone; 0.29 is a liquefaction-stage factor. The comparison is approximate."
electric_drive_grid,"Base Case, grid supply (BC EAO Ksi Lisims), applied to Ksi Lisims and Cedar",0.021,Parameters:liquefaction_electric_drive_grid,ksi_lisims_lng (sourced); cedar_lng (assumption: same FLNG electric-drive class),"Base Case, grid supply (BC EAO Ksi Lisims)",7054.130911057896,-107.91631709999996,1149.7368129,-107.91631709999996,"The two drive figures are facility total intensity including marine sources, not the liquefaction stage alone; 0.29 is a liquefaction-stage factor. The comparison is approximate."
