slice,key,membership,n_assets,lifetime_mtco2e,lifetime_co2_only_mt,lifetime_ch4_derived_co2e_mt,lifetime_ch4_kt,ch4_share_of_co2e_pct,scenario,split_note
build_out,committed,committed (operating + under construction),3,1869.4836050000004,1799.6193350666674,69.86426993333336,2344.4385883668897,3.737089201877935,measurement_central,"CH4-derived CO2e is upstream (scenario factor less inventory CO2) plus shipping methane slip (1 - 1/1.44). Pipeline fugitives are not split; liquefaction, regasification and combustion are treated as CO2."
build_out,committed_plus_advanced,committed plus advanced (+ tier advanced_proposed),5,3805.738805,3663.514951066667,142.22385393333332,4772.612548098434,3.737089201877934,measurement_central,"CH4-derived CO2e is upstream (scenario factor less inventory CO2) plus shipping methane slip (1 - 1/1.44). Pipeline fugitives are not split; liquefaction, regasification and combustion are treated as CO2."
build_out,full,full (every headline-scope asset),10,9298.097503157895,8955.23925469298,342.85824846491226,11505.31035117155,3.687402163167981,measurement_central,"CH4-derived CO2e is upstream (scenario factor less inventory CO2) plus shipping methane slip (1 - 1/1.44). Pipeline fugitives are not split; liquefaction, regasification and combustion are treated as CO2."
calc_group,operating,calc_group=operating,1,1309.5949999999998,1260.6542666666664,48.94073333333333,1642.3064876957492,3.7370892018779345,measurement_central,"CH4-derived CO2e is upstream (scenario factor less inventory CO2) plus shipping methane slip (1 - 1/1.44). Pipeline fugitives are not split; liquefaction, regasification and combustion are treated as CO2."
calc_group,under_construction,calc_group=under_construction,2,559.8886049999998,538.9650683999998,20.923536600000002,702.1321006711408,3.7370892018779363,measurement_central,"CH4-derived CO2e is upstream (scenario factor less inventory CO2) plus shipping methane slip (1 - 1/1.44). Pipeline fugitives are not split; liquefaction, regasification and combustion are treated as CO2."
calc_group,proposed,calc_group=proposed,7,7428.613898157894,7155.619919626315,272.99397853157893,9160.871762804662,3.6748979321603246,measurement_central,"CH4-derived CO2e is upstream (scenario factor less inventory CO2) plus shipping methane slip (1 - 1/1.44). Pipeline fugitives are not split; liquefaction, regasification and combustion are treated as CO2."
