build_out,membership,n_assets,lifetime_mtco2e,lifetime_mtco2e_p05,lifetime_mtco2e_p95,lifetime_mtco2e_mc_median,lifetime_co2_only_mt,lifetime_co2_only_mt_p05,lifetime_co2_only_mt_p95,lifetime_co2_only_mt_mc_median,lifetime_ch4_kt,peak_year,peak_mtco2e_yr,peak_mtco2e_yr_p05,peak_mtco2e_yr_p95,peak_mtco2e_yr_mc_median,eccc_2pct_damages_cad_bn,eccc_2pct_damages_cad_bn_p05,eccc_2pct_damages_cad_bn_p95,eccc_2pct_damages_cad_bn_mc_median,eccc_2pct_damages_npv_2025_cad_bn,canada_territorial_pct,international_bunkers_pct,foreign_territorial_pct,share_of_remaining_15c_budget_pct,share_of_remaining_17c_budget_pct,share_of_remaining_2c_budget_pct,central_basis,interval_basis
committed,committed (operating + under construction),3,1860.0045332000002,1826.7586646875739,2023.7297653206792,1918.595959241542,1791.9834161166673,1743.3843464503095,1910.7366266203956,1820.7497131490586,2282.587821588368,2030,58.032879199999996,56.99559491555721,63.141171383194205,59.86095493257615,745.4977163530178,729.2662810053865,801.185415729432,762.5818728003826,523.5690152623358,18.148357870894678,3.3975084937712348,78.45413363533409,1.0541078918333338,0.34133017449841285,0.16985624797314383,point estimate from central factor values,"Monte Carlo p5-p95, 10000 draws, seed 20260828"
committed_plus_advanced,committed plus advanced (+ tier advanced_proposed),5,3786.4421012,3636.247545803115,4095.794909459161,3855.4809323878967,3647.9703841166665,3466.398428893085,3871.118924398029,3658.947872317234,4646.7019155481,2037,135.0799272,132.66549787028586,146.97021673473333,139.33503810051985,1571.8388387470327,1508.6040527917116,1680.7050001022649,1589.3900114612852,1051.1705681695735,18.148357870894678,3.3975084937712343,78.45413363533407,2.145864931833333,0.6948515017365079,0.345779183328594,point estimate from central factor values,"Monte Carlo p5-p95, 10000 draws, seed 20260828"
full,full (every headline-scope asset),9,7167.117878157896,6515.32301342656,8089.116739387899,7274.03418262012,6909.484612692982,6193.421377025643,7664.455700346825,6910.112315594648,8645.411592782295,2037,235.94197253684212,231.77080087555726,256.43008122269663,243.23147462242758,3105.8601563246602,2763.511510956252,3545.590788559664,3134.852136044293,1945.1688336501325,18.185134317588595,3.2017499350822387,78.61311574732916,4.064402713348813,1.3160923071796158,0.6549274514400931,point estimate from central factor values,"Monte Carlo p5-p95, 10000 draws, seed 20260828"
