territory,code,share_pct,lifetime_mtco2e
Canada,CAN,18.185134317588595,1303.3500128429189
International marine bunkers,BUNK,3.2017499350822387,229.47319201118793
Importing countries,FOR,78.61311574732918,5634.294673303789
