case,price_family,aggregation,scenario,currency,total_cad,total_cad_billion,operating_cad_billion,under_construction_cad_billion,proposed_cad_billion,committed_cad_billion,canada_economic_value_proposed_cad,breakeven_canada_share_all,breakeven_canada_share_proposed,breakeven_note
published_central,eccc,calendar_year,measurement_central,CAD 2025,3105860156324.66,3105.8601563246602,511.73925783419804,233.75845851881982,2360.3624399716423,745.4977163530178,596278826008.1449,0.1919850849671723,0.25262172279580447,technique only; not the headline (actual Burke share is known)
eccc_central_npv_2025,eccc,npv_analysis_year,measurement_central,CAD 2025,1945168833650.1328,1945.168833650133,370.1021506870045,153.4668645753313,1421.5998183877969,523.5690152623358,596278826008.1449,0.30654348131273546,0.4194421090207867,technique only; not the headline (actual Burke share is known)
burke_default_hatton,burke,hatton_sum,measurement_central,CAD 2025,12419595820100.61,12419.595820100609,2257.835333945867,965.2879519566437,9196.4725341981,3223.123285902511,596278826008.1449,0.04801112972155599,0.06483777598321706,technique only; not the headline (actual Burke share is known)
burke_default_npv_2025,burke,npv_analysis_year,measurement_central,CAD 2025,7981932062059.959,7981.932062059959,1671.050772184345,652.4009498212259,5658.480340054389,2323.451722005571,596278826008.1449,0.07470357068589965,0.10537790893913639,technique only; not the headline (actual Burke share is known)
eccc_1.5pct_calendar,eccc,calendar_year,measurement_central,CAD 2025,4871564725439.7295,4871.564725439729,819.6643226573664,369.06369945303345,3682.83670332933,1188.7280221104,596278826008.1449,0.12239985705092363,0.16190748437721975,technique only; not the headline (actual Burke share is known)
eccc_2.5pct_calendar,eccc,calendar_year,measurement_central,CAD 2025,2067160237062.2844,2067.1602370622845,334.3828742110937,154.68367444207573,1578.093688409115,489.06654865316943,596278826008.1449,0.28845312294490444,0.3778475450397732,technique only; not the headline (actual Burke share is known)
