case,label,canada_territorial_mtco2e_yr,share_of_national_inventory,note,delta_vs_gas_mtco2e_yr,value_kind,scenario
gas_turbine_current,Gas turbine (current),37.463898416605616,0.05398256255995046,Headline. Liquefaction 0.29 tCO2e/t for every terminal.,0.0,life_average_annual_mt,measurement_central
claimed_electric_delivered,If claimed electric drive is delivered,32.595434637973135,0.046967485069125556,"0.15 only for assets previously classified electric_committed or electric_planned: cedar_lng, ksi_lisims_lng, lng_canada_phase_2, marinvest_baie_comeau, summit_lake_pg_lng, woodfibre_lng.",-4.868463778632481,life_average_annual_mt,measurement_central
all_terminals_electric,If every terminal ran electric,29.268670637973138,0.04217387699996129,Liquefaction 0.15 tCO2e/t on every chain that includes it.,-8.195227778632479,life_average_annual_mt,measurement_central
