discount_rate_pct,calendar_year_total_cad_billion,calendar_year_proposed_cad_billion,npv_2025_total_cad_billion,npv_2025_proposed_cad_billion,is_central,is_sensitivity_range
1.5,6538.300807113638,5313.830336816806,4540.74126514231,3600.910297636889,False,True
2.0,4163.877066128376,3398.534452349165,2562.790319671342,2025.0962482614912,True,False
2.5,2765.039383683978,2265.083484298504,1510.0986420602064,1188.4036524966418,False,True
