build_out,upstream,lifetime_mtco2e,lifetime_co2_only_mt,lifetime_ch4_kt,peak_year,peak_mtco2e_yr,central_damage_cad_billion
committed,0.55,2017.4624481000003,1789.6136481666667,7645.932883668905,2030,62.945628600000006,772.4480428285993
committed_plus_advanced,0.55,4106.981792099999,3643.146208166666,15564.95248098434,2037,146.5150626,1630.3189331927547
full,0.55,7829.791398157895,6948.826156359649,29562.592006652543,2037,257.5460396368421,3249.521413076848
